pid,Player,info
ubriage01,Gene Ubriaco,"['Position: LW/C\xa0•\xa0    Shoots: Left\n', '5-8,\xa0157lb\xa0(173cm,\xa071kg) ', ' Born:  December 26,\xa01937   in\xa0Sault\xa0Ste.\xa0Marie,\xa0Ontario  ca ', ""Amateur Teams: Toronto\xa0St.\xa0Michael's "", 'As Coach: 2\xa0Yrs, 50‑47‑9,\xa0109\xa0Pts. (Full\xa0Record) ']"
uchevvi01,Victor Uchevatov,"['Position: D\n', ' Born:  February 10,\xa01983   ', 'Draft: New Jersey, 2nd round (60th\xa0overall), 2001\xa0NHL\xa0Entry ']"
uensza01,Zachary Uens,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-1,\xa0180lb\xa0(185cm,\xa081kg) ', ' Born:  May 13,\xa02001   in\xa0Belleville,\xa0Ontario  ca ', 'Draft: Florida, 4th round (105th\xa0overall), 2020\xa0NHL\xa0Entry ', 'Amateur Teams: Merrimack ']"
uherdo01,Dominik Uher,"['Position: C\n', '6-1,\xa0199lb\xa0(185cm,\xa090kg) ', ' Born:  December 31,\xa01992   in\xa0Ostvava,\xa0Czechoslovakia  cs ', 'Draft: Pittsburgh, 5th round (144th\xa0overall), 2011\xa0NHL\xa0Entry ', 'Amateur Teams: Spokane\xa0Chiefs ', 'Pronunciation: \\DAHM-ihn-ihk oo-AIR\\']"
ujcikvi01,Viktor Ujcik,"['Position: RW\n', ' Born:  May 24,\xa01972   ', 'Draft: Montreal, 9th round (266th\xa0overall), 2001\xa0NHL\xa0Entry ']"
ulanoig01,Igor Ulanov,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-3,\xa0220lb\xa0(190cm,\xa099kg) ', ' Born:  October 1,\xa01969   in\xa0Krasnokamsk,\xa0USSR  su ', 'Draft: Winnipeg, 10th round (203rd\xa0overall), 1991\xa0NHL\xa0Entry ']"
ullmano01,Norm Ullman,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-10,\xa0175lb\xa0(178cm,\xa079kg) ', ' Born:  December 26,\xa01935   in\xa0Provost,\xa0Alberta  ca ', 'Hall of Fame: Inducted as Player\xa01982 (Full\xa0List)']"
ullmali01,Linus Ullmark,"['Position: G\n', '6-4,\xa0221lb\xa0(193cm,\xa0100kg) ', 'Team: Buffalo Sabres', ' Born:  July 31,\xa01993   in\xa0Lugnvik,\xa0Sweden  se ', 'Draft: Buffalo, 6th round (163rd\xa0overall), 2012\xa0NHL\xa0Entry ', 'Current salary: $2,600,000', 'Current cap hit: $2,600,000', 'Pronunciation: \\LEE-nuhs UHL-mahrk\\']"
ullstda01,David Ullstrom,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-2,\xa0195lb\xa0(188cm,\xa088kg) ', ' Born:  April 22,\xa01989   in\xa0Jonkoping,\xa0Sweden  se ', 'Draft: NY Islanders, 4th round (102nd\xa0overall), 2008\xa0NHL\xa0Entry ', 'Pronunciation: \\DAY-vihd UHL-struhm\\', 'Twitter:\n@d_ullstrom']"
ullyco01,Cole Ully,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-0,\xa0170lb\xa0(183cm,\xa077kg) ', ' Born:  February 20,\xa01995   in\xa0Calgary,\xa0Alberta  ca ', 'Draft: Dallas, 5th round (131st\xa0overall), 2013\xa0NHL\xa0Entry ', 'Pronunciation: \\KOHL YEW-lee\\']"
ulmerje01,Jeff Ulmer,"['Position: RW\xa0•\xa0    Shoots: Right\n', '5-11,\xa0195lb\xa0(180cm,\xa088kg) ', ' Born:  April 27,\xa01977   in\xa0Wilcox,\xa0Saskatchewan  ca ', 'Amateur Teams: North\xa0Dakota ']"
ulmerla01,Layne Ulmer,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-1,\xa0205lb\xa0(185cm,\xa092kg) ', ' Born:  September 14,\xa01980   in\xa0North\xa0Battleford,\xa0Saskatchewan  ca ', 'Draft: Ottawa, 7th round (209th\xa0overall), 1999\xa0NHL\xa0Entry ', 'Amateur Teams: Swift\xa0Current\xa0Broncos ']"
umberrj01,R.J. Umberger,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-2,\xa0214lb\xa0(188cm,\xa097kg) ', ' Born:  May 3,\xa01982   in\xa0Pittsburgh,\xa0Pennsylvania  us ', 'Draft: Vancouver, 1st round (16th\xa0overall), 2001\xa0NHL\xa0Entry ', 'Amateur Teams: Ohio\xa0State ', 'Pronunciation: \\UHM-buhr-guhr\\', 'Twitter:\n@Umby18']"
umicedr01,Dragan Umicevic,"['Position: LW\n', ' Born:  October 9,\xa01984   ', 'Draft: Edmonton, 6th round (184th\xa0overall), 2003\xa0NHL\xa0Entry ']"
underma01,Matt Underhill,"['Position: G\xa0•\xa0    Catches: Left\n', '6-2,\xa0195lb\xa0(188cm,\xa088kg) ', ' Born:  September 16,\xa01979   in\xa0Merritt,\xa0British Columbia  ca ', 'Draft: Calgary, 6th round (170th\xa0overall), 1999\xa0NHL\xa0Entry ', 'Amateur Teams: Cornell ']"
ungerga01,Garry Unger,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-11,\xa0170lb\xa0(180cm,\xa077kg) ', ' Born:  December 7,\xa01947   in\xa0Calgary,\xa0Alberta  ca ', 'Amateur Teams: London\xa0Nationals ']"
unicejo01,Josh Unice,"['Position: G\n', ' Born:  June 24,\xa01989   ', 'Draft: Chicago, 3rd round (86th\xa0overall), 2007\xa0NHL\xa0Entry ']"
upshasc01,Scottie Upshall,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-0,\xa0200lb\xa0(183cm,\xa090kg) ', ' Born:  October 7,\xa01983   in\xa0Fort\xa0McMurray,\xa0Alberta  ca ', 'Draft: Nashville, 1st round (6th\xa0overall), 2002\xa0NHL\xa0Entry ', 'Amateur Teams: Kamloops\xa0Blazers ', 'Pronunciation: \\SKAW-tee UHP-shuhl\\', 'Twitter:\n@ScottieUpshall']"
urbanvl01,Vladimir Urban,"['\n', '  ']"
urbomal01,Alexander Urbom,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-5,\xa0215lb\xa0(196cm,\xa097kg) ', ' Born:  December 20,\xa01990   in\xa0Stockholm,\xa0Sweden  se ', 'Draft: New Jersey, 3rd round (73rd\xa0overall), 2009\xa0NHL\xa0Entry ', 'Amateur Teams: Brandon\xa0Wheat\xa0Kings ', 'Pronunciation: \\al-ehx-AN-duhr OOR-bohm\\']"
urquhco01,Cory Urquhart,"['Position: C\n', ' Born:  October 1,\xa01984   ', 'Draft: Montreal, 2nd round (40th\xa0overall), 2003\xa0NHL\xa0Entry ']"
ustasma01,Matt Ustaski,"['Position: C/LW\xa0•\xa0    Shoots: Left\n', '6-6,\xa0233lb\xa0(198cm,\xa0105kg) ', ' Born:  May 27,\xa01994   in\xa0Glenview,\xa0Illinois  us ', 'Draft: Winnipeg, 7th round (192nd\xa0overall), 2014\xa0NHL\xa0Entry ', 'Pronunciation: \\MAT YEW-staz-kee\\']"
ustimki01,Kirill Ustimenko,"['Position: G\xa0•\xa0    Catches: Left\n', ' Born:  January 29,\xa01999   in\xa0Belarus  by ', 'Draft: Philadelphia, 3rd round (80th\xa0overall), 2017\xa0NHL\xa0Entry ', 'Pronunciation: \\KIH-rihl oost-ih-MEHN-koh\\']"
ustorst01,Stefan Ustorf,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-0,\xa0195lb\xa0(183cm,\xa088kg) ', ' Born:  January 3,\xa01974   in\xa0Kaufbeuren,\xa0Germany  de ', 'Draft: Washington, 3rd round (53rd\xa0overall), 1992\xa0NHL\xa0Entry ']"
utkindm01,Dmitri Utkin,"['Position: LW\n', ' Born:  June 10,\xa01984   ', 'Draft: Boston, 7th round (228th\xa0overall), 2002\xa0NHL\xa0Entry ']"
utuneto01,Toni Utunen,"['Position: D\xa0•\xa0    Shoots: Left\n', '5-10,\xa0169lb\xa0(178cm,\xa076kg) ', ' Born:  April 27,\xa02000   in\xa0Kokkola,\xa0Finland  fi ', 'Draft: Vancouver, 5th round (130th\xa0overall), 2018\xa0NHL\xa0Entry ']"
